dayno,hourofday,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count
 1 ,0,winter,0,0,1,9.84,14.395,81,0,3,13,16
 1 ,1,winter,0,0,1,9.02,13.635,80,0,8,32,40
 1 ,2,winter,0,0,1,9.02,13.635,80,0,5,27,32
 1 ,3,winter,0,0,1,9.84,14.395,75,0,3,10,13
 1 ,4,winter,0,0,1,9.84,14.395,75,0,0,1,1
 1 ,5,winter,0,0,2,9.84,12.88,75,6.0032,0,1,1
 1 ,6,winter,0,0,1,9.02,13.635,80,0,2,0,2
 1 ,7,winter,0,0,1,8.2,12.88,86,0,1,2,3
 1 ,8,winter,0,0,1,9.84,14.395,75,0,1,7,8
 1 ,9,winter,0,0,1,13.12,17.425,76,0,8,6,14
 1 ,10,winter,0,0,1,15.58,19.695,76,16.9979,12,24,36
 1 ,11,winter,0,0,1,14.76,16.665,81,19.0012,26,30,56
 1 ,12,winter,0,0,1,17.22,21.21,77,19.0012,29,55,84
 1 ,13,winter,0,0,2,18.86,22.725,72,19.9995,47,47,94
 1 ,14,winter,0,0,2,18.86,22.725,72,19.0012,35,71,106
 1 ,15,winter,0,0,2,18.04,21.97,77,19.9995,40,70,110
 1 ,16,winter,0,0,2,17.22,21.21,82,19.9995,41,52,93
 1 ,17,winter,0,0,2,18.04,21.97,82,19.0012,15,52,67
 1 ,18,winter,0,0,3,17.22,21.21,88,16.9979,9,26,35
 1 ,19,winter,0,0,3,17.22,21.21,88,16.9979,6,31,37
 1 ,20,winter,0,0,2,16.4,20.455,87,16.9979,11,25,36
 1 ,21,winter,0,0,2,16.4,20.455,87,12.998,3,31,34
 1 ,22,winter,0,0,2,16.4,20.455,94,15.0013,11,17,28
 1 ,23,winter,0,0,2,18.86,22.725,88,19.9995,15,24,39
 2 ,0,winter,0,0,2,18.86,22.725,88,19.9995,4,13,17
 2 ,1,winter,0,0,2,18.04,21.97,94,16.9979,1,16,17
 2 ,2,winter,0,0,2,17.22,21.21,100,19.0012,1,8,9
 2 ,3,winter,0,0,2,18.86,22.725,94,12.998,2,4,6
 2 ,4,winter,0,0,2,18.86,22.725,94,12.998,2,1,3
 2 ,6,winter,0,0,3,17.22,21.21,77,19.9995,0,2,2
 2 ,7,winter,0,0,2,16.4,20.455,76,12.998,0,1,1
 2 ,8,winter,0,0,3,16.4,20.455,71,15.0013,0,8,8
 2 ,9,winter,0,0,2,15.58,19.695,76,15.0013,1,19,20
 2 ,10,winter,0,0,2,14.76,17.425,81,15.0013,7,46,53
 2 ,11,winter,0,0,2,14.76,16.665,71,16.9979,16,54,70
 2 ,12,winter,0,0,2,14.76,16.665,66,19.9995,20,73,93
 2 ,13,winter,0,0,2,14.76,17.425,66,8.9981,11,64,75
 2 ,14,winter,0,0,3,14.76,17.425,76,12.998,4,55,59
 2 ,15,winter,0,0,3,13.94,16.665,81,11.0014,19,55,74
 2 ,16,winter,0,0,3,13.94,16.665,71,11.0014,9,67,76
 2 ,17,winter,0,0,1,13.94,16.665,57,12.998,7,58,65
 2 ,18,winter,0,0,2,14.76,16.665,46,22.0028,10,43,53
 2 ,19,winter,0,0,1,13.12,14.395,42,30.0026,1,29,30
 2 ,20,winter,0,0,1,12.3,13.635,39,23.9994,5,17,22
 2 ,21,winter,0,0,1,10.66,11.365,44,22.0028,11,20,31
 2 ,22,winter,0,0,1,9.84,10.605,44,19.9995,0,9,9
 2 ,23,winter,0,0,1,9.02,11.365,47,11.0014,0,8,8
 3 ,0,winter,0,1,1,9.02,9.85,44,23.9994,0,5,5
 3 ,1,winter,0,1,1,8.2,8.335,44,27.9993,0,2,2
 3 ,4,winter,0,1,1,6.56,6.82,47,26.0027,0,1,1
 3 ,5,winter,0,1,1,6.56,6.82,47,19.0012,0,3,3
 3 ,6,winter,0,1,1,5.74,5.305,50,26.0027,0,30,30
 3 ,7,winter,0,1,1,5.74,6.82,50,12.998,1,63,64
 3 ,8,winter,0,1,1,5.74,6.06,50,19.0012,1,153,154
 3 ,9,winter,0,1,1,6.56,6.82,43,26.0027,7,81,88
 3 ,10,winter,0,1,1,7.38,8.335,43,16.9979,11,33,44
