creditlimit,sex,education,marriage,age,default
20000,male,high school,single,35,0
450000,female,graduate school,married,40,0
500000,female,university,married,54,0
500000,male,graduate school,married,58,0
210000,male,graduate school,single,29,0
310000,female,university,married,49,0
500000,female,graduate school,married,45,0
200000,male,graduate school,married,57,0
100000,female,graduate school,single,27,0
140000,male,graduate school,single,32,0
380000,female,graduate school,single,30,0
170000,male,university,single,29,0
370000,male,graduate school,single,50,0
80000,male,graduate school,single,30,0
150000,female,university,married,34,0
500000,female,graduate school,married,34,0
180000,female,graduate school,married,38,0
210000,female,graduate school,single,31,0
230000,female,graduate school,single,37,0
360000,female,university,single,28,0
440000,female,graduate school,single,36,0
110000,female,university,single,26,0
340000,male,university,married,55,0
140000,female,university,single,31,0
240000,female,university,single,30,0
230000,female,graduate school,single,35,0
50000,female,university,single,22,0
200000,male,graduate school,married,52,0
480000,female,high school,married,41,0
200000,female,graduate school,single,31,0
200000,male,graduate school,single,31,0
90000,female,university,single,32,0
30000,male,other,married,53,0
50000,male,graduate school,single,26,0
160000,female,university,single,25,0
40000,female,university,single,24,0
160000,female,graduate school,married,33,0
360000,female,university,single,52,0
250000,female,high school,single,35,0
160000,female,university,single,60,0
30000,male,university,married,35,0
450000,female,high school,married,36,0
210000,female,university,married,47,0
270000,male,graduate school,single,32,0
280000,male,university,married,39,0
160000,female,graduate school,married,33,0
230000,female,graduate school,single,29,0
320000,male,university,married,37,0
150000,female,graduate school,single,29,0
280000,male,graduate school,married,41,0
400000,female,university,single,40,0
400000,female,graduate school,single,31,0
450000,male,university,single,33,0
70000,female,high school,married,50,0
260000,female,university,married,46,0
200000,female,graduate school,married,35,0
200000,male,graduate school,single,26,0
230000,female,graduate school,single,29,0
30000,female,university,married,32,0
300000,female,university,married,34,0
30000,female,university,single,25,0
50000,male,graduate school,single,26,0
260000,male,graduate school,married,41,0
500000,female,high school,married,38,0
310000,male,graduate school,single,30,0
200000,male,graduate school,single,31,0
360000,male,graduate school,single,30,0
200000,male,graduate school,married,39,0
180000,male,graduate school,single,27,0
180000,female,graduate school,single,36,0
200000,male,graduate school,married,34,0
50000,female,university,single,23,0
500000,female,high school,single,42,0
150000,female,graduate school,other,30,0
500000,male,graduate school,single,36,0
50000,female,graduate school,single,23,0
260000,female,university,married,33,0
380000,male,high school,married,53,0
200000,male,graduate school,single,39,0
150000,female,high school,single,30,0
210000,female,high school,married,37,0
310000,male,university,single,33,0
300000,female,graduate school,married,42,0
150000,female,high school,single,28,0
200000,female,graduate school,married,41,0
60000,male,graduate school,single,27,0
100000,female,university,single,29,0
230000,female,university,married,44,0
250000,male,graduate school,single,38,0
160000,female,graduate school,married,39,0
360000,male,graduate school,married,36,0
360000,male,high school,married,54,0
500000,female,university,married,50,0
160000,female,university,married,45,0
230000,male,graduate school,single,26,0
480000,female,university,married,54,0
400000,female,university,single,30,0
260000,male,high school,married,34,0
470000,male,university,married,41,0
200000,female,university,married,34,0
500000,male,university,married,49,0
390000,female,graduate school,single,31,0
150000,male,graduate school,single,28,0
80000,male,university,married,41,0
300000,female,high school,single,29,0
200000,female,graduate school,married,34,0
30000,female,high school,single,50,0
140000,female,high school,single,23,0
330000,female,graduate school,single,35,0
200000,female,graduate school,single,26,0
420000,male,graduate school,single,31,0
210000,female,university,single,45,0
80000,female,graduate school,single,29,0
230000,male,high school,single,27,0
200000,male,graduate school,single,42,0
50000,male,university,married,54,0
240000,male,university,married,43,0
160000,female,graduate school,single,32,0
320000,female,graduate school,married,34,0
340000,male,graduate school,married,52,0
150000,female,graduate school,single,34,0
160000,female,graduate school,single,46,0
240000,male,graduate school,single,35,0
260000,female,university,single,38,0
250000,female,university,single,26,0
360000,male,graduate school,married,32,0
80000,female,graduate school,single,38,0
240000,female,high school,married,39,0
90000,female,graduate school,single,27,0
500000,female,graduate school,single,36,0
100000,male,university,single,30,0
220000,female,graduate school,single,36,0
230000,female,graduate school,married,61,0
290000,female,graduate school,single,24,0
290000,female,university,single,54,0
150000,female,graduate school,single,27,0
200000,female,graduate school,married,40,0
250000,female,university,married,45,0
150000,female,graduate school,married,31,0
100000,female,university,married,36,0
230000,female,graduate school,single,29,0
140000,female,university,single,29,0
60000,female,university,married,38,0
360000,female,graduate school,single,32,0
120000,female,graduate school,single,28,0
20000,female,graduate school,single,31,0
250000,male,university,married,30,0
500000,female,graduate school,single,46,0
270000,male,other,single,32,0
200000,female,graduate school,single,39,0
20000,male,graduate school,single,41,0
210000,male,graduate school,single,48,0
280000,female,graduate school,single,29,0
300000,female,graduate school,married,31,0
10000,male,university,single,33,0
50000,female,university,married,44,0
260000,female,graduate school,single,33,0
300000,male,graduate school,single,32,0
260000,female,graduate school,single,36,0
360000,male,high school,married,53,0
220000,female,graduate school,married,31,0
200000,female,graduate school,single,43,0
170000,male,university,single,26,0
230000,female,high school,single,26,0
310000,female,graduate school,married,43,0
180000,female,graduate school,single,43,0
20000,male,university,single,34,0
80000,female,university,married,27,0
390000,female,high school,married,38,0
120000,female,graduate school,single,28,0
250000,male,university,married,50,0
90000,female,graduate school,single,28,0
220000,male,graduate school,married,54,0
270000,male,graduate school,single,36,0
210000,female,graduate school,married,45,0
80000,female,graduate school,single,25,0
500000,male,graduate school,married,37,0
220000,female,graduate school,married,44,0
90000,female,graduate school,single,29,0
30000,female,university,single,23,0
210000,female,university,single,35,0
160000,female,university,single,45,0
120000,female,high school,married,48,0
380000,female,high school,married,56,0
80000,female,university,married,23,0
300000,male,graduate school,married,47,0
210000,female,high school,single,45,0
360000,female,other,single,36,0
230000,female,graduate school,single,28,0
200000,female,graduate school,married,38,0
90000,female,graduate school,single,27,0
160000,male,university,married,26,0
230000,female,university,married,34,0
310000,female,graduate school,single,32,0
200000,female,graduate school,married,41,0
160000,female,university,single,27,0
300000,female,other,married,34,0
230000,female,university,single,25,0
50000,female,university,single,23,0
200000,female,graduate school,married,42,0
380000,male,graduate school,single,34,0
500000,female,graduate school,married,44,0
160000,female,graduate school,single,31,0
50000,female,university,single,28,0
150000,male,graduate school,married,49,0
250000,female,university,single,40,0
250000,male,graduate school,single,31,0
240000,female,university,single,47,0
220000,female,graduate school,married,40,0
200000,female,graduate school,single,23,0
80000,female,high school,single,27,0
60000,female,university,married,36,0
360000,female,graduate school,married,31,0
500000,male,graduate school,married,40,0
300000,female,graduate school,married,36,0
350000,male,graduate school,single,37,0
280000,male,graduate school,married,44,0
250000,male,university,married,47,0
200000,female,graduate school,married,45,0
360000,male,high school,single,49,0
220000,male,graduate school,single,33,0
170000,female,graduate school,single,30,0
210000,male,high school,single,32,0
120000,male,university,other,38,0
180000,female,graduate school,single,28,0
350000,male,graduate school,married,38,0
20000,male,university,married,45,0
200000,male,high school,single,25,0
170000,male,university,married,37,0
280000,male,university,married,37,0
380000,male,university,married,38,0
430000,male,graduate school,married,48,0
50000,male,university,married,33,0
230000,female,graduate school,single,40,0
200000,male,high school,other,36,0
310000,female,graduate school,married,33,0
480000,female,high school,married,39,0
280000,male,university,single,28,0
350000,female,university,married,33,0
200000,male,high school,single,40,0
80000,female,university,single,24,0
500000,female,high school,single,52,0
150000,female,graduate school,single,28,0
100000,female,university,single,23,0
500000,female,university,married,27,0
150000,female,high school,married,59,0
50000,female,university,single,22,0
430000,female,graduate school,single,39,0
50000,male,graduate school,single,31,0
200000,male,graduate school,single,28,0
360000,male,graduate school,married,39,0
310000,female,graduate school,single,36,0
190000,female,graduate school,single,32,0
240000,female,university,married,44,0
310000,male,graduate school,married,33,0
530000,male,graduate school,single,32,0
170000,female,university,married,48,0
180000,female,university,married,33,0
280000,female,university,married,51,0
600000,male,graduate school,single,36,0
330000,male,university,married,47,0
500000,female,graduate school,married,46,0
500000,female,graduate school,single,31,0
500000,male,graduate school,married,59,0
290000,female,university,married,42,0
410000,female,graduate school,single,41,0
110000,female,university,single,51,0
120000,female,graduate school,single,31,0
100000,male,high school,married,48,0
200000,female,graduate school,married,32,0
350000,female,graduate school,married,43,0
710000,female,university,married,40,0
160000,female,university,single,50,0
340000,female,university,married,43,0
310000,male,high school,single,30,0
320000,male,graduate school,married,50,0
260000,female,university,married,34,0
440000,male,graduate school,single,29,0
200000,female,university,married,30,0
260000,female,graduate school,married,39,0
180000,male,graduate school,single,29,0
10000,female,university,single,23,0
210000,female,graduate school,married,40,0
220000,male,graduate school,single,31,0
150000,female,university,single,23,0
390000,female,high school,married,46,0
350000,female,graduate school,married,33,0
220000,male,high school,married,41,0
500000,male,graduate school,single,39,0
200000,female,graduate school,single,29,0
230000,female,university,single,30,0
50000,female,university,single,29,0
410000,male,university,married,36,0
430000,female,graduate school,single,31,0
120000,female,graduate school,single,26,0
360000,female,graduate school,married,31,0
