year,month,day,dep_delay,arr_delay,carrier,origin,dest,distance
2014,1,1,14,13,AA,JFK,LAX,2475
2014,1,1,-3,13,AA,JFK,LAX,2475
2014,1,1,2,9,AA,JFK,LAX,2475
2014,1,1,-8,-26,AA,LGA,PBI,1035
2014,1,1,2,1,AA,JFK,LAX,2475
2014,1,1,4,0,AA,EWR,LAX,2454
2014,1,1,-2,-18,AA,JFK,LAX,2475
2014,1,1,-3,-14,AA,JFK,LAX,2475
2014,1,1,-1,-17,AA,JFK,MIA,1089
2014,1,1,-2,-14,AA,JFK,SEA,2422
2014,1,1,-5,-17,AA,EWR,MIA,1085
2014,1,1,7,-5,AA,JFK,SFO,2586
2014,1,1,3,1,AA,JFK,BOS,187
2014,1,1,142,133,AA,JFK,LAX,2475
2014,1,1,-5,-26,AA,JFK,BOS,187
2014,1,1,18,69,AA,JFK,ORD,740
2014,1,1,25,36,AA,JFK,IAH,1417
2014,1,1,-1,1,AA,JFK,AUS,1521
2014,1,1,191,185,AA,EWR,DFW,1372
2014,1,1,-7,-6,AA,LGA,ORD,733
2014,1,1,-7,0,AA,LGA,ORD,733
2014,1,1,-8,-17,AA,LGA,ORD,733
2014,1,1,-2,15,AA,LGA,ORD,733
2014,1,1,-3,1,AA,LGA,ORD,733
2014,1,1,44,42,AA,LGA,ORD,733
2014,1,1,-1,-2,AA,EWR,DFW,1372
2014,1,1,3,12,AA,LGA,ORD,733
2014,1,1,-5,24,AA,LGA,ORD,733
2014,1,1,26,46,AA,LGA,ORD,733
2014,1,1,52,91,AA,LGA,ORD,733
2014,1,1,55,84,AA,LGA,ORD,733
2014,1,1,36,59,AA,LGA,ORD,733
2014,1,1,0,-27,AA,JFK,STT,1623
2014,1,1,11,44,AA,LGA,ORD,733
2014,1,1,-5,-17,AA,JFK,SJU,1598
2014,1,1,-10,-19,AA,LGA,MIA,1096
2014,1,1,-6,-4,AA,LGA,MIA,1096
2014,1,1,7,-8,AA,JFK,MIA,1089
2014,1,1,51,29,AA,LGA,DFW,1389
2014,1,1,-2,-3,AA,LGA,MIA,1096
2014,1,1,17,7,AA,LGA,DFW,1389
2014,1,1,-3,-10,AA,EWR,MIA,1085
2014,1,1,4,-17,AA,EWR,DFW,1372
2014,1,1,0,-8,AA,LGA,DFW,1389
2014,1,1,-5,-14,AA,LGA,DFW,1389
2014,1,1,-4,-21,AA,LGA,DFW,1389
2014,1,1,6,4,AA,LGA,DFW,1389
2014,1,1,-6,-11,AA,LGA,DFW,1389
2014,1,1,-11,-5,AA,LGA,DFW,1389
2014,1,1,-1,-14,AA,LGA,DFW,1389
2014,1,1,3,3,AA,LGA,DFW,1389
2014,1,1,14,23,AA,LGA,DFW,1389
2014,1,1,0,-27,AA,LGA,DFW,1389
2014,1,1,-6,-9,AA,LGA,PBI,1035
2014,1,1,3,-16,AA,JFK,SJU,1598
2014,1,1,-3,27,AA,EWR,DFW,1372
2014,1,1,3,11,AA,LGA,MIA,1096
2014,1,1,-7,-22,AA,LGA,MIA,1096
2014,1,1,4,14,AA,JFK,LAS,2248
2014,1,1,-5,-8,AA,EWR,MIA,1085
2014,1,1,-5,-5,AA,LGA,MIA,1096
2014,1,1,-3,-6,AA,LGA,MIA,1096
2014,1,1,-9,-16,AA,EWR,DFW,1372
2014,1,1,2,-1,AA,JFK,MIA,1089
2014,1,1,6,3,AA,JFK,MIA,1089
2014,1,1,-7,12,AA,LGA,MIA,1096
2014,1,1,-5,-20,AA,LGA,MIA,1096
2014,1,1,-6,-10,AA,JFK,MCO,944
2014,1,1,6,-12,AA,JFK,MIA,1089
2014,1,1,-5,-15,AA,LGA,MIA,1096
2014,1,1,-2,-15,AA,JFK,BOS,187
2014,1,1,-3,-9,AA,LGA,MIA,1096
2014,1,1,24,16,AA,JFK,EGE,1746
2014,1,1,-3,-13,AA,JFK,MCO,944
2014,1,1,4,-12,AS,EWR,SEA,2402
2014,1,1,4,15,AS,EWR,SEA,2402
2014,1,1,51,60,B6,JFK,CHS,636
2014,1,1,41,51,B6,JFK,PBI,1028
2014,1,1,72,49,B6,JFK,BOS,187
2014,1,1,20,15,B6,EWR,FLL,1065
2014,1,1,47,48,B6,JFK,RSW,1074
2014,1,1,18,24,B6,JFK,BTV,266
2014,1,1,-4,-5,B6,JFK,BUF,301
2014,1,1,-2,-8,B6,JFK,IAD,228
2014,1,1,-1,7,B6,JFK,PWM,273
2014,1,1,127,129,B6,JFK,SYR,209
2014,1,1,30,17,B6,JFK,RDU,427
2014,1,1,126,111,B6,JFK,RSW,1074
2014,1,1,-4,21,B6,JFK,JAX,828
2014,1,1,5,33,B6,JFK,JAX,828
2014,1,1,-5,-11,B6,EWR,BOS,200
2014,1,1,-3,12,B6,JFK,HOU,1428
2014,1,1,6,-1,B6,JFK,BOS,187
2014,1,1,107,108,B6,JFK,MCO,944
2014,1,1,-3,-16,B6,EWR,SJU,1608
2014,1,1,-2,11,B6,JFK,PBI,1028
2014,1,1,45,37,B6,JFK,DEN,1626
2014,1,1,8,17,B6,JFK,ROC,264
2014,1,1,12,4,B6,JFK,SJU,1598
2014,1,1,-3,-10,B6,JFK,SAN,2446
2014,1,1,-9,-14,B6,JFK,FLL,1069
2014,1,1,-7,-2,B6,JFK,PBI,1028
2014,1,1,19,20,B6,LGA,PBI,1035
2014,1,1,4,18,B6,LGA,FLL,1076
2014,1,1,61,62,B6,JFK,FLL,1069
2014,1,1,88,90,B6,LGA,PBI,1035
2014,1,1,1,-10,B6,LGA,FLL,1076
2014,1,1,-3,-5,B6,EWR,FLL,1065
2014,1,1,41,31,B6,JFK,PBI,1028
2014,1,1,7,13,B6,JFK,BQN,1576
2014,1,1,-6,2,B6,JFK,BUF,301
2014,1,1,-4,21,B6,EWR,PBI,1023
2014,1,1,21,21,B6,EWR,PBI,1023
2014,1,1,-3,11,B6,JFK,LGB,2465
2014,1,1,99,97,B6,JFK,MCO,944
2014,1,1,60,52,B6,JFK,LAS,2248
2014,1,1,23,24,B6,JFK,MCO,944
2014,1,1,3,1,B6,EWR,MCO,937
2014,1,1,162,197,B6,JFK,MCO,944
2014,1,1,118,121,B6,JFK,LAS,2248
2014,1,1,38,68,B6,JFK,MCO,944
2014,1,1,-5,3,B6,JFK,FLL,1069
2014,1,1,24,34,B6,JFK,FLL,1069
2014,1,1,-2,3,B6,EWR,MCO,937
2014,1,1,16,8,B6,JFK,PSE,1617
2014,1,1,-7,11,B6,JFK,TPA,1005
2014,1,1,-5,19,B6,JFK,FLL,1069
2014,1,1,11,6,B6,JFK,FLL,1069
2014,1,1,37,37,B6,JFK,SAN,2446
2014,1,1,3,-4,B6,JFK,PHX,2153
2014,1,1,-6,-7,B6,LGA,MCO,950
2014,1,1,9,7,B6,EWR,PBI,1023
2014,1,1,29,41,B6,JFK,TPA,1005
2014,1,1,-3,-3,B6,EWR,FLL,1065
2014,1,1,18,7,B6,JFK,SEA,2422
2014,1,1,-2,-5,B6,LGA,PBI,1035
2014,1,1,-7,18,B6,EWR,MCO,937
2014,1,1,1,1,B6,JFK,FLL,1069
2014,1,1,0,9,B6,JFK,PBI,1028
2014,1,1,-3,42,B6,JFK,SJU,1598
2014,1,1,-8,1,B6,LGA,TPA,1010
2014,1,1,-11,-8,B6,EWR,SJU,1608
2014,1,1,10,54,B6,JFK,ORD,740
2014,1,1,-3,0,B6,LGA,FLL,1076
2014,1,1,9,-6,B6,LGA,RSW,1080
2014,1,1,-5,16,B6,JFK,AUS,1521
2014,1,1,2,-4,B6,JFK,SJU,1598
2014,1,1,24,25,B6,JFK,MCO,944
2014,1,1,0,8,B6,JFK,RSW,1074
2014,1,1,-2,1,B6,LGA,FLL,1076
2014,1,1,76,63,B6,JFK,LAS,2248
2014,1,1,13,-8,B6,JFK,SMF,2521
2014,1,1,0,2,B6,JFK,MCO,944
2014,1,1,-4,3,B6,JFK,RSW,1074
2014,1,1,-1,17,B6,JFK,LGB,2465
2014,1,1,-4,11,B6,JFK,LAX,2475
2014,1,1,79,88,B6,JFK,SRQ,1041
2014,1,1,3,-10,B6,JFK,LAX,2475
2014,1,1,82,80,B6,LGA,SRQ,1047
2014,1,1,42,55,B6,LGA,MCO,950
2014,1,1,-6,19,B6,EWR,RSW,1068
2014,1,1,42,50,B6,EWR,TPA,997
2014,1,1,3,1,B6,JFK,LAX,2475
2014,1,1,110,116,B6,JFK,LAX,2475
2014,1,1,21,21,B6,JFK,AUS,1521
2014,1,1,-1,-15,B6,JFK,SJC,2569
2014,1,1,23,29,B6,EWR,FLL,1065
2014,1,1,118,132,B6,EWR,MCO,937
2014,1,1,81,87,B6,JFK,MCO,944
2014,1,1,-3,-13,B6,JFK,BQN,1576
2014,1,1,-5,12,B6,JFK,TPA,1005
2014,1,1,62,70,B6,JFK,FLL,1069
2014,1,1,9,14,B6,LGA,FLL,1076
2014,1,1,29,33,B6,JFK,FLL,1069
2014,1,1,9,5,B6,JFK,SJU,1598
2014,1,1,47,38,B6,JFK,SLC,1990
2014,1,1,151,161,B6,JFK,PBI,1028
2014,1,1,7,3,B6,JFK,LAX,2475
2014,1,1,111,124,B6,JFK,MCO,944
2014,1,1,-3,14,B6,LGA,TPA,1010
2014,1,1,1,-5,B6,LGA,FLL,1076
2014,1,1,-3,-13,B6,EWR,MCO,937
2014,1,1,-6,-3,B6,EWR,FLL,1065
2014,1,1,22,24,B6,JFK,FLL,1069
2014,1,1,10,4,B6,JFK,ABQ,1826
2014,1,1,16,36,B6,JFK,MCO,944
2014,1,1,-5,17,B6,LGA,MCO,950
2014,1,1,-3,-13,B6,JFK,OAK,2576
2014,1,1,-4,-12,B6,JFK,LAX,2475
2014,1,1,-4,-1,B6,JFK,SFO,2586
2014,1,1,-7,6,B6,JFK,TPA,1005
2014,1,1,32,31,B6,JFK,SJU,1598
2014,1,1,8,13,B6,JFK,PBI,1028
2014,1,1,-7,2,B6,JFK,SFO,2586
2014,1,1,-3,1,B6,JFK,TPA,1005
2014,1,1,10,7,B6,JFK,SFO,2586
2014,1,1,-2,10,B6,JFK,BUR,2465
2014,1,1,61,53,B6,JFK,SJU,1598
2014,1,1,40,44,B6,JFK,FLL,1069
2014,1,1,62,56,B6,JFK,FLL,1069
2014,1,1,56,39,B6,JFK,SJU,1598
2014,1,1,81,74,B6,JFK,SJU,1598
2014,1,1,93,101,B6,LGA,MCO,950
2014,1,1,121,133,B6,JFK,PDX,2454
2014,1,1,17,30,B6,EWR,MCO,937
2014,1,1,-4,7,B6,JFK,BUF,301
2014,1,1,4,44,B6,JFK,HOU,1428
2014,1,1,87,101,B6,JFK,MSY,1182
2014,1,1,36,44,B6,JFK,BUF,301
2014,1,1,54,53,B6,JFK,SYR,209
2014,1,1,-5,11,B6,JFK,CHS,636
2014,1,1,106,117,B6,JFK,IAD,228
2014,1,1,21,19,B6,JFK,ROC,264
2014,1,1,-6,21,B6,JFK,MSY,1182
2014,1,1,-8,-15,B6,JFK,ROC,264
2014,1,1,5,6,B6,JFK,BUF,301
2014,1,1,11,13,B6,JFK,SYR,209
2014,1,1,-2,-9,B6,JFK,BOS,187
2014,1,1,231,221,B6,JFK,BTV,266
2014,1,1,182,178,B6,JFK,RDU,427
2014,1,1,40,32,B6,JFK,BTV,266
2014,1,1,28,24,B6,JFK,BUF,301
2014,1,1,-2,3,B6,JFK,RDU,427
2014,1,1,-5,-17,B6,JFK,PWM,273
2014,1,1,4,2,B6,JFK,BOS,187
2014,1,1,63,70,B6,JFK,JAX,828
2014,1,1,273,268,B6,JFK,BUF,301
2014,1,1,68,76,B6,JFK,MSY,1182
2014,1,1,22,28,B6,EWR,PBI,1023
2014,1,1,-7,-22,B6,EWR,BOS,200
2014,1,1,-2,4,B6,JFK,CLT,541
2014,1,1,-1,-3,B6,JFK,PWM,273
2014,1,1,-5,-14,B6,JFK,CLT,541
2014,1,1,-2,-1,B6,JFK,BTV,266
2014,1,1,1,-3,B6,JFK,BOS,187
2014,1,1,21,2,B6,EWR,BOS,200
2014,1,1,-5,47,B6,JFK,ORD,740
2014,1,1,11,11,AA,JFK,LAS,2248
2014,1,1,-1,-22,AA,JFK,SFO,2586
2014,1,1,-4,-16,AA,JFK,DFW,1391
2014,1,1,5,8,AA,JFK,SAN,2446
2014,1,1,-3,-13,AA,JFK,SFO,2586
2014,1,1,-3,-23,AA,JFK,SJU,1598
2014,1,1,10,10,DL,LGA,ATL,762
2014,1,1,-4,-11,DL,LGA,DTW,502
2014,1,1,-3,-7,DL,LGA,ATL,762
2014,1,1,-1,15,DL,EWR,SLC,1969
2014,1,1,3,-6,DL,JFK,LAS,2248
2014,1,1,-6,-7,DL,JFK,MCO,944
2014,1,1,34,14,DL,JFK,ATL,760
2014,1,1,8,12,DL,JFK,PDX,2454
2014,1,1,-4,-19,DL,JFK,SFO,2586
2014,1,1,0,-8,DL,JFK,FLL,1069
2014,1,1,1,-5,DL,JFK,LAX,2475
2014,1,1,-3,2,DL,JFK,LAS,2248
2014,1,1,-4,-21,DL,JFK,AUS,1521
2014,1,1,19,11,DL,JFK,LAX,2475
2014,1,1,5,-22,DL,JFK,LAX,2475
2014,1,1,8,-1,DL,JFK,LAX,2475
2014,1,1,16,-7,DL,JFK,MIA,1089
2014,1,1,0,1,DL,JFK,SLC,1990
2014,1,1,0,-19,DL,JFK,SFO,2586
2014,1,1,-3,-16,DL,JFK,SFO,2586
2014,1,1,0,-7,DL,JFK,ATL,760
2014,1,1,-5,-14,DL,JFK,SFO,2586
2014,1,1,86,79,DL,JFK,SEA,2422
2014,1,1,-2,-4,DL,JFK,SEA,2422
2014,1,1,30,19,DL,JFK,SJU,1598
2014,1,1,-7,-46,DL,JFK,STT,1623
2014,1,1,49,36,DL,JFK,LAX,2475
2014,1,1,7,-20,DL,JFK,LAX,2475
2014,1,1,9,54,DL,JFK,ATL,760
2014,1,1,-11,-12,DL,JFK,ATL,760
2014,1,1,-3,10,DL,JFK,SLC,1990
2014,1,1,-4,-27,DL,LGA,SRQ,1047
2014,1,1,-5,-14,DL,LGA,PBI,1035
2014,1,1,-7,-17,DL,LGA,PBI,1035
2014,1,1,-7,-14,DL,EWR,ATL,746
2014,1,1,-11,5,DL,LGA,DEN,1620
2014,1,1,-5,-7,DL,LGA,DTW,502
2014,1,1,9,-5,DL,LGA,MSY,1183
2014,1,1,-5,-17,DL,LGA,ATL,762
2014,1,1,-3,-14,DL,EWR,ATL,746
2014,1,1,-1,-6,DL,LGA,ATL,762
2014,1,1,3,-16,DL,LGA,ATL,762
2014,1,1,-6,-17,DL,LGA,TPA,1010
2014,1,1,17,21,DL,LGA,DTW,502
2014,1,1,70,52,DL,LGA,PBI,1035
2014,1,1,-6,-5,DL,LGA,PBI,1035
2014,1,1,-5,-4,DL,LGA,TPA,1010
2014,1,1,-1,-1,DL,EWR,ATL,746
2014,1,1,-3,-8,DL,LGA,FLL,1076
2014,1,1,-5,-17,DL,LGA,ATL,762
2014,1,1,-2,-23,DL,LGA,MIA,1096
2014,1,1,-1,0,DL,LGA,MSP,1020
2014,1,1,13,15,DL,EWR,ATL,746
2014,1,1,2,-3,DL,JFK,SJU,1598
2014,1,1,-4,-14,DL,LGA,ATL,762
2014,1,1,8,2,DL,JFK,FLL,1069
2014,1,1,-3,-18,DL,LGA,MIA,1096
2014,1,1,-5,-3,DL,LGA,MSP,1020
2014,1,1,-6,-13,DL,JFK,MCO,944
2014,1,1,-2,-13,DL,LGA,FLL,1076
2014,1,1,49,36,DL,LGA,MCO,950
2014,1,1,-4,-8,DL,JFK,DTW,509
2014,1,1,-5,5,DL,LGA,MSP,1020
2014,1,1,-1,-8,DL,LGA,DTW,502
2014,1,1,4,-7,DL,LGA,ATL,762
2014,1,1,-6,-12,DL,LGA,MCO,950
2014,1,1,-7,-20,DL,JFK,SJU,1598
2014,1,1,-5,-19,DL,JFK,FLL,1069
2014,1,1,19,6,DL,JFK,SAN,2446
2014,1,1,-1,-11,DL,JFK,SJU,1598
2014,1,1,19,24,DL,LGA,RSW,1080
2014,1,1,-8,-13,DL,JFK,TPA,1005
2014,1,1,6,-13,DL,JFK,DEN,1626
2014,1,1,-4,-14,DL,LGA,MSY,1183
2014,1,1,13,-7,DL,JFK,MCO,944
2014,1,1,4,-21,DL,JFK,PHX,2153
2014,1,1,-1,-14,DL,JFK,ATL,760
2014,1,1,-6,4,DL,EWR,DTW,488
2014,1,1,-5,-20,DL,JFK,MIA,1089
2014,1,1,6,1,DL,LGA,MIA,1096
2014,1,1,-4,-4,DL,LGA,ATL,762
2014,1,1,11,13,DL,JFK,SLC,1990
2014,1,1,52,26,DL,JFK,LAS,2248
2014,1,1,-6,-19,DL,JFK,SJU,1598
2014,1,1,-3,-6,DL,JFK,SLC,1990
2014,1,1,-5,-16,DL,JFK,BOS,187
2014,1,1,-5,-12,DL,LGA,TPA,1010
2014,1,1,-5,-20,DL,LGA,ATL,762
2014,1,1,297,290,DL,EWR,ATL,746
2014,1,1,-1,-5,DL,LGA,MCO,950
2014,1,1,-5,-15,DL,LGA,ATL,762
2014,1,1,-3,-11,DL,EWR,ATL,746
2014,1,1,-5,-6,DL,LGA,RSW,1080
2014,1,1,-2,-17,DL,LGA,ATL,762
2014,1,1,-1,-12,DL,LGA,FLL,1076
2014,1,1,-1,-15,DL,LGA,MCO,950
2014,1,1,-1,2,DL,LGA,MSY,1183
2014,1,1,-3,-11,DL,LGA,FLL,1076
2014,1,1,-9,-20,DL,LGA,MCO,950
2014,1,1,-7,3,DL,EWR,DTW,488
2014,1,1,29,21,DL,LGA,MSP,1020
2014,1,1,-1,-20,DL,LGA,ATL,762
2014,1,1,18,18,DL,LGA,FLL,1076
2014,1,1,-6,-11,DL,LGA,RSW,1080
2014,1,1,-3,-8,DL,LGA,MCO,950
2014,1,1,13,16,DL,LGA,DEN,1620
2014,1,1,-3,-14,AA,JFK,MIA,1089
2014,1,1,25,35,EV,EWR,DAY,533
2014,1,1,27,49,EV,EWR,ATL,746
2014,1,1,111,105,EV,EWR,MHT,209
2014,1,1,-3,-12,EV,EWR,DCA,199
2014,1,1,0,-9,EV,EWR,SDF,642
2014,1,1,78,66,EV,LGA,CLE,419
2014,1,1,-2,0,EV,EWR,STL,872
2014,1,1,-4,-5,EV,EWR,MEM,946
2014,1,1,-5,2,EV,EWR,BNA,748
2014,1,1,1,13,EV,EWR,GSP,594
2014,1,1,-3,-5,EV,EWR,CHS,628
2014,1,1,10,9,EV,EWR,DTW,488
2014,1,1,-8,25,EV,EWR,MSN,799
2014,1,1,121,138,EV,EWR,OMA,1134
2014,1,1,48,64,EV,EWR,IND,645
2014,1,1,34,30,EV,EWR,RIC,277
2014,1,1,67,53,EV,EWR,PVD,160
2014,1,1,4,-1,EV,EWR,CHS,628
2014,1,1,8,10,EV,EWR,ATL,746
2014,1,1,82,95,EV,EWR,OMA,1134
2014,1,1,7,11,EV,EWR,ATL,746
2014,1,1,148,146,EV,EWR,AVL,583
2014,1,1,46,75,EV,EWR,MCI,1092
2014,1,1,46,45,EV,EWR,PWM,284
2014,1,1,-4,11,EV,EWR,DTW,488
2014,1,1,24,9,EV,EWR,IND,645
2014,1,1,4,30,EV,EWR,OKC,1325
2014,1,1,-1,14,EV,EWR,BNA,748
2014,1,1,97,120,EV,EWR,MCI,1092
2014,1,1,-2,-16,EV,EWR,SYR,195
2014,1,1,46,71,EV,EWR,MKE,725
2014,1,1,27,23,EV,EWR,DCA,199
2014,1,1,0,7,EV,EWR,JAX,820
2014,1,1,62,71,EV,EWR,MSP,1008
2014,1,1,39,51,EV,EWR,DTW,488
