hotel,week_no,no_of_days,adults,reserved_room_type,daily_rate
Resort Hotel,27,1,1,A,75
Resort Hotel,27,1,1,A,75
Resort Hotel,27,2,2,A,98
Resort Hotel,27,2,2,A,98
Resort Hotel,27,2,2,C,107
Resort Hotel,27,2,2,C,103
Resort Hotel,27,3,2,A,82
Resort Hotel,27,3,2,D,105.5
Resort Hotel,27,4,2,E,123
Resort Hotel,27,4,2,D,145
Resort Hotel,27,4,2,D,97
Resort Hotel,27,4,2,G,154.77
Resort Hotel,27,4,2,E,94.71
Resort Hotel,27,4,2,D,97
Resort Hotel,27,4,2,E,97.5
Resort Hotel,27,1,2,A,88.2
Resort Hotel,27,1,2,A,107.42
Resort Hotel,27,4,2,G,153
Resort Hotel,27,5,1,F,97.29
Resort Hotel,27,6,2,A,84.67
Resort Hotel,27,6,2,A,84.67
Resort Hotel,27,6,2,D,99.67
Resort Hotel,27,7,2,D,94.95
Resort Hotel,27,7,2,D,63.6
Resort Hotel,27,7,2,D,79.5
Resort Hotel,27,7,2,E,107
Resort Hotel,27,7,2,A,94
Resort Hotel,27,7,2,D,87.3
Resort Hotel,27,14,1,A,62
Resort Hotel,27,15,2,D,63.86
Resort Hotel,27,10,2,E,108.3
Resort Hotel,27,6,2,A,65.5
Resort Hotel,27,4,3,D,108.8
Resort Hotel,27,4,3,D,108.8
Resort Hotel,27,4,2,A,98
Resort Hotel,27,4,3,D,108.8
Resort Hotel,27,4,3,D,108.8
Resort Hotel,27,5,2,E,137
Resort Hotel,27,5,2,G,117.81
Resort Hotel,27,5,2,D,79.5
Resort Hotel,27,5,2,F,123
Resort Hotel,27,5,2,E,137
Resort Hotel,27,7,2,A,110.7
Resort Hotel,27,7,2,G,153
Resort Hotel,27,7,2,A,58.95
Resort Hotel,27,7,2,E,82.88
Resort Hotel,27,7,2,A,82.35
Resort Hotel,27,7,2,E,119.35
Resort Hotel,27,7,2,D,67.58
Resort Hotel,27,11,2,A,56.01
Resort Hotel,27,14,2,D,110.7
Resort Hotel,27,1,2,A,88.2
Resort Hotel,27,1,2,H,147
Resort Hotel,27,1,2,C,107
Resort Hotel,27,1,2,H,147
Resort Hotel,27,1,2,A,117.9
Resort Hotel,27,1,2,G,123
Resort Hotel,27,2,2,A,98
Resort Hotel,27,2,2,G,117.81
Resort Hotel,27,2,2,E,135
Resort Hotel,27,3,2,F,133
Resort Hotel,27,3,2,A,58.95
Resort Hotel,27,3,2,A,136.33
Resort Hotel,27,2,2,G,153
Resort Hotel,27,2,2,A,110.5
Resort Hotel,27,2,2,D,97
Resort Hotel,27,2,3,A,110.3
Resort Hotel,27,2,2,A,82
Resort Hotel,27,2,2,D,97
Resort Hotel,27,2,2,A,73.8
Resort Hotel,27,2,2,A,91.5
Resort Hotel,27,2,2,A,114.5
Resort Hotel,27,2,3,A,110.3
Resort Hotel,27,3,2,A,90.9
Resort Hotel,27,3,2,E,123
Resort Hotel,27,4,1,A,122
Resort Hotel,27,4,2,A,110.7
Resort Hotel,27,8,3,D,85.86
Resort Hotel,27,9,2,A,58.95
Resort Hotel,27,10,2,A,55.68
Resort Hotel,27,10,2,A,55.68
Resort Hotel,27,10,2,A,124
Resort Hotel,27,10,2,E,111.15
Resort Hotel,27,14,2,E,134.73
Resort Hotel,27,14,2,F,92.45
Resort Hotel,27,21,2,A,108.73
Resort Hotel,27,1,2,A,73.8
Resort Hotel,27,1,2,A,98
Resort Hotel,27,1,2,A,131
Resort Hotel,27,1,2,E,123
Resort Hotel,27,1,2,C,94.71
Resort Hotel,27,1,2,A,123
Resort Hotel,27,2,2,A,123
Resort Hotel,27,2,2,A,73.8
Resort Hotel,27,7,2,F,117
Resort Hotel,27,7,3,E,196.54
Resort Hotel,27,7,2,D,99.3
Resort Hotel,27,7,2,E,90.95
Resort Hotel,27,3,2,A,92.67
Resort Hotel,27,3,2,D,71.55
Resort Hotel,27,6,1,F,96.49
Resort Hotel,27,6,2,A,85.8
Resort Hotel,27,7,2,E,96.3
Resort Hotel,27,7,2,H,163
Resort Hotel,27,7,3,D,172
Resort Hotel,27,7,2,A,110.7
Resort Hotel,27,7,2,A,58.95
Resort Hotel,27,7,2,A,73.8
Resort Hotel,27,7,2,D,97
Resort Hotel,27,7,2,E,139
Resort Hotel,27,7,2,A,67.24
Resort Hotel,27,8,3,E,116.5
Resort Hotel,27,8,2,E,96.3
Resort Hotel,27,8,2,A,123
Resort Hotel,27,10,2,D,71.55
Resort Hotel,27,10,2,D,71.55
Resort Hotel,27,10,2,D,149
Resort Hotel,27,1,2,H,163
Resort Hotel,27,1,2,D,79.5
Resort Hotel,27,1,1,A,105
Resort Hotel,27,1,1,E,123
Resort Hotel,27,1,2,A,73.8
Resort Hotel,27,1,2,D,113
Resort Hotel,27,1,2,E,123
Resort Hotel,27,2,2,A,73.8
Resort Hotel,27,2,2,A,114.5
Resort Hotel,27,2,2,A,73.8
Resort Hotel,27,2,2,A,73.8
Resort Hotel,28,1,2,A,88.2
Resort Hotel,28,1,2,D,97
Resort Hotel,28,1,2,A,85.1
Resort Hotel,28,1,1,A,89
Resort Hotel,28,1,1,A,80.1
Resort Hotel,28,1,2,A,98
Resort Hotel,28,1,1,A,101
Resort Hotel,28,1,2,D,97
Resort Hotel,28,1,2,G,167
Resort Hotel,28,2,3,G,225
Resort Hotel,28,2,2,D,97
Resort Hotel,28,4,2,D,87.3
Resort Hotel,28,5,2,A,85.59
Resort Hotel,28,5,2,E,123
Resort Hotel,28,5,2,E,107
Resort Hotel,28,6,2,H,163
Resort Hotel,28,6,2,A,82
Resort Hotel,28,6,2,H,163
Resort Hotel,28,7,2,D,105.5
Resort Hotel,28,7,2,C,164.2
Resort Hotel,28,7,2,F,97.29
Resort Hotel,28,7,2,A,114
Resort Hotel,28,7,2,E,98.4
Resort Hotel,28,9,2,H,175
Resort Hotel,28,10,2,D,63.6
Resort Hotel,28,10,3,D,124.45
Resort Hotel,28,11,2,D,110.7
Resort Hotel,28,14,1,A,74.07
Resort Hotel,28,14,2,D,134.1
Resort Hotel,28,5,2,G,167
Resort Hotel,28,4,2,A,123
Resort Hotel,28,4,2,G,117.81
Resort Hotel,28,4,3,D,171.32
Resort Hotel,28,4,2,G,210
Resort Hotel,28,4,2,D,97
Resort Hotel,28,4,3,G,117.81
Resort Hotel,28,1,2,A,131
Resort Hotel,28,2,2,A,98
Resort Hotel,28,2,2,D,87.3
Resort Hotel,28,3,2,D,97
Resort Hotel,28,4,2,E,167
Resort Hotel,28,4,2,A,91.5
Resort Hotel,28,4,2,A,73.8
Resort Hotel,28,5,2,E,123
Resort Hotel,28,5,2,F,175
Resort Hotel,28,6,2,A,117.8
Resort Hotel,28,6,2,E,117.63
Resort Hotel,28,7,2,G,185
Resort Hotel,28,7,1,A,71
Resort Hotel,28,7,2,A,47.25
Resort Hotel,28,8,2,A,151
Resort Hotel,28,10,2,D,87.3
Resort Hotel,28,10,2,A,120.6
Resort Hotel,28,10,2,D,63.86
Resort Hotel,28,10,2,F,157.1
Resort Hotel,28,10,2,D,91.37
Resort Hotel,28,11,1,A,73
Resort Hotel,28,14,2,D,110.7
Resort Hotel,28,14,2,A,93.6
Resort Hotel,28,7,2,D,83.5
Resort Hotel,28,2,2,A,73.8
Resort Hotel,28,3,2,A,82
Resort Hotel,28,3,2,F,185.5
Resort Hotel,28,1,1,A,109.8
Resort Hotel,28,1,3,C,195
Resort Hotel,28,1,1,A,109.8
Resort Hotel,28,4,3,H,193
Resort Hotel,28,4,2,D,97
Resort Hotel,28,4,3,D,150
Resort Hotel,28,4,2,A,98
Resort Hotel,28,5,2,A,91.5
Resort Hotel,28,7,2,E,139
Resort Hotel,28,7,2,D,79.5
Resort Hotel,28,7,2,A,47.25
Resort Hotel,28,14,2,D,126.65
Resort Hotel,28,3,2,E,107
Resort Hotel,28,4,2,A,131
Resort Hotel,28,4,2,A,131
Resort Hotel,28,4,2,A,123
Resort Hotel,28,4,2,D,146
Resort Hotel,28,4,2,A,110.7
Resort Hotel,28,4,2,A,73.8
Resort Hotel,28,1,1,A,61
Resort Hotel,28,1,2,A,104.72
Resort Hotel,28,1,2,A,104.72
Resort Hotel,28,2,2,A,104.72
Resort Hotel,28,5,2,A,66.42
Resort Hotel,28,6,2,E,77.96
Resort Hotel,28,7,2,D,112
