"type","country","year_added","release_year","rating","title"
"TV Show","Brazil",2020,2020,"TV-MA","3%"
"Movie","Mexico",2016,2016,"TV-MA","7:19"
"Movie","Singapore",2018,2011,"R","23:59"
"Movie","United States",2017,2009,"PG-13","9"
"Movie","United States",2020,2008,"PG-13","21"
"TV Show","Turkey",2017,2016,"TV-MA","46"
"Movie","Egypt",2020,2019,"TV-MA","122"
"Movie","United States",2019,1997,"R","187"
"Movie","India",2019,2019,"TV-14","706"
"Movie","India",2017,2008,"TV-MA","1920"
"Movie","United States",2017,2017,"TV-MA","1922"
"TV Show","Poland, United States",2018,2018,"TV-MA","1983"
"TV Show","Mexico",2019,2019,"TV-MA","1994"
"Movie","Thailand",2019,2018,"TV-MA","2,215"
"Movie","United States",2020,2019,"R","3022"
"Movie","Nigeria",2019,2014,"TV-14","Oct-01"
"TV Show","",2019,2018,"TV-14","Feb-09"
"Movie","Norway, Iceland, United States",2018,2018,"R","22-Jul"
"Movie","India",2019,2019,"TV-14","15-Aug"
"Movie","United Kingdom",2018,2017,"TV-PG","'89"
"Movie","India",2018,2018,"TV-14","​​Kuch Bheege Alfaaz"
"Movie","India",2018,2018,"TV-14","​Goli Soda 2"
"Movie","India",2018,2017,"TV-14","​Maj Rati ​​Keteki"
"Movie","India",2018,2017,"TV-14","​Mayurakshi"
"TV Show","Japan",2020,2020,"TV-14","​SAINT SEIYA: Knights of the Zodiac"
"Movie","United States",2016,2015,"NR","(T)ERROR"
"TV Show","United States",2020,2020,"TV-MA","(Un)Well"
"Movie","South Korea",2020,2020,"TV-MA","#Alive"
"Movie","Italy",2020,2019,"TV-14","#AnneFrank - Parallel Stories"
"TV Show","United States",2020,2020,"TV-MA","#blackAF"
"Movie","Canada",2020,2020,"TV-14","#cats_the_mewvie"
"Movie","Indonesia",2020,2018,"TV-G","#FriendButMarried"
"Movie","Indonesia",2020,2020,"TV-G","#FriendButMarried 2"
"Movie","United States",2017,2017,"TV-14","#realityhigh"
"Movie","Canada",2019,2018,"TV-14","#Roxy"
