year,ticker,grossprofit,netincome,revenue
2019,PEAK,223.462,45.53,1988.758
2019,AIV,236.66,474.083,928.052
2019,MKTX,287.902,204.902,519.415
2019,DRE,358.811,428.972,1015.106
2019,FRT,396.526,353.866,935.042
2019,UDR,427.725,184.965,1305.47
2019,REG,456.604,239.43,1195.163
2019,SLG,477.615,270.434,1208.601
2019,VNO,482.289,3147.937,1921.302
2019,MAA,500.11,353.811,1664.809
2019,TYL,571.655,146.527,1086.427
2019,KIM,593.549,410.605,1257.122
2019,ETSY,595.374,95.894,818.379
2019,PAYC,648.335,180.576,737.671
2018,ABMD,653.986,259.016,769.432
2019,IPGP,694.699,180.234,1314.581
2019,ESS,697.14,439.286,1618.589
2019,WST,709.1,241.7,1839.9
2019,ARE,733.641,363.165,1736.079
2019,EXR,741.912,419.967,1327.195
2019,O,768.859,436.482,1491.591
2019,JKHY,790.294,271.885,1552.691
2019,AVB,902.153,785.974,2331.837
2019,DLR,907.304,579.761,3283.308
2019,HST,947,920,5515
2019,POOL,953.766,261.575,3199.517
2019,IR,956,159.1,2451.9
2019,WRB,960.42,681.944,7833.002
2019,CPRT,961.509,591.693,2041.957
2019,DXCM,978.4,101.1,1476
2019,VTR,1014.149,433.016,3870.296
2019,ROL,1021.884,203.347,2015.477
2019,RE,1024.865,1009.461,8125.354
2019,EQR,1030.042,970.377,2769.453
2019,CTLT,1033.7,137.4,2518
2019,FLIR,1039.061,171.597,1887.026
2019,GL,1039.943,760.79,4527.532
2019,EXPD,1047.971,590.395,8175.426
2019,ODFL,1072.387,615.518,4109.111
2019,VRSN,1097.524,612.299,1231.661
2019,PNR,1133.7,355.7,2957.2
2019,CBOE,1136.9,374.4,2496.1
2019,ATO,1137.514,511.406,2901.848
2019,CMG,1142.49,350.158,5586.369
2018,LW,1161.2,478.6,3756.5
2018,TTWO,1161.687,333.837,2668.394
2019,LEG,1172.6,333.8,4752.5
2019,IEX,1205.25,425.521,2494.573
2019,BXP,1236.308,521.534,3032.51
2019,AOS,1259,370,2992.7
2019,MSCI,1262.835,563.648,1557.796
2019,PNW,1262.889,538.32,3471.209
2019,VNT,1277.3,437,2772.1
2019,NDAQ,1307,774,4262
2019,ALLE,1330.6,401.8,2854
2019,LNT,1344.9,567.4,3647.7
2019,TDY,1355.2,402.3,3163.6
2019,AJG,1376.2,668.8,7195
2019,NOV,1378,-6095,8479
2019,BIO,1382.516,1758.675,2311.659
2019,ANSS,1394.966,451.295,1515.892
2019,COG,1397.589,681.07,2066.277
2019,WELL,1399.802,1232.432,5163.74
2019,KSU,1400.8,538.9,2866
2019,BR,1402.8,482.1,4362.2
2019,TER,1411.11,467.468,2294.965
2018,STE,1413.214,304.051,2782.17
2019,FLS,1416.995,253.668,3944.85
2019,VAR,1451.4,291.9,3225.1
2019,IDXX,1453.444,427.72,2406.908
2019,DPZ,1462.429,400.709,3618.774
2019,ALB,1469.878,533.228,3589.427
2019,PLD,1483.057,1572.959,3555.012
2019,LNC,1486,886,17236
2019,WAT,1491.499,592.198,2406.596
2019,IPG,1492.2,656,10221.3
2019,FLT,1507.818,895.073,2648.848
2019,APA,1520,-3553,6280
2019,SBAC,1521.614,146.991,2014.645
2019,JBHT,1523.9,516.32,9165.258
2019,PKI,1528.679,227.558,2883.673
2019,MLM,1546.4,611.9,4739.1
2019,TFX,1571.671,461.466,2595.362
2019,ANET,1573.841,859.867,2410.706
2019,NVR,1599.398,878.539,7428.442
2019,MXIM,1608.595,827.486,2314.329
2019,IVZ,1611.2,688.3,6117.4
2019,RMD,1612.442,404.592,2606.572
2019,VMC,1630.497,617.662,4929.103
2018,QRVO,1632.66,133.125,3090.325
2019,VRSK,1633.8,449.9,2607.1
2019,PSA,1635.105,1520.534,2944.806
2019,WY,1652,-76,6554
2019,RJF,1656,1034,8023
2019,SEE,1686.8,263,4791.1
2019,BEN,1687.3,1195.7,5774.5
2019,NRG,1699,4438,9821
2019,UNM,1704.7,1100.3,11999.6
2019,FTNT,1711.9,326.5,2156.2
2019,HII,1758,549,8899
2019,MTD,1780.012,561.109,3008.652
2019,LDOS,1782,667,11094
2019,NI,1789,383.1,5208.9
2019,AWK,1800,621,3610
2019,UHS,1803.931,814.854,11378.259
2019,PBCT,1807.5,520.4,2304.6
2019,ALGN,1822.887,442.776,2406.796
2019,CBRE,1840.825,1282.357,23894.091
2018,DRI,1852,713.4,8510.4
2019,MOS,1860.3,-1067.4,8906.3
2019,PFG,1873.6,1394.2,15999.6
2019,PWR,1897.559,402.044,12160.953
2019,COO,1920,466.7,2653.4
2019,CE,1937,852,6297
2019,FFIV,1945.043,427.734,2242.447
2019,EFX,2005.9,-398.8,3527.6
2019,AME,2021.702,861.297,5158.557
2019,SWKS,2023.8,853.6,3376.8
2019,PKG,2033,696.4,6964.3
2019,CF,2037,493,4590
2019,HRL,2049.416,978.806,9497.317
2019,WLTW,2071,1044,9039
2019,AVY,2078.7,303.6,7070.1
2019,EVRG,2079.4,669.9,5147.8
2019,INCY,2098.11,446.906,2158.759
2019,AIZ,2133,382.6,10086.8
2019,CHD,2138.2,615.9,4357.7
2018,XLNX,2156.472,889.75,3059.04
2019,AMCR,2164.4,430.2,9458.2
2019,HOLX,2167.7,-203.6,3367.3
2019,FBHS,2167.7,431.9,5764.6
2019,CDNS,2174.213,988.979,2336.319
2019,PRGO,2175.5,146.1,4837.4
2019,ZBRA,2178,544,4485
2019,SNA,2182.3,693.5,4067.7
2019,AKAM,2195.061,478.035,2893.617
2019,DVN,2211,-355,6220
2019,FMC,2215.9,477.4,4609.8
2019,CMS,2231,680,6845
2018,BF.B,2238,835,3324
2019,IFF,2248.208,455.873,5140.084
2019,FANG,2253,240,3964
2019,AEE,2262,828,5910
2019,BLL,2271,566,11474
2019,MKC,2292.9,704.6,5347.4
2019,XYL,2303,401,5249
2019,HFC,2303.255,772.388,17486.578
2019,GRMN,2332.122,952.486,3757.505
2018,ADSK,2358.6,-80.8,2569.8
2019,OKE,2393.463,1278.577,10164.367
2019,MAR,2400,1273,20972
2019,ALK,2402,769,8781
2019,PHM,2424.072,1016.7,10212.957
2019,IRM,2429.269,267.377,4262.584
2019,HLT,2435,881,9452
2019,XRAY,2444.8,262.9,4029.2
2019,L,2453,932,14701
2019,WEC,2457.7,1135.2,7523.1
2019,WU,2503.1,1058.3,5292.1
2019,MAS,2510,933,6707
2019,REGN,2520.2,2115.8,7863.4
2019,CXO,2522,-705,4592
2019,BWA,2540,746,10168
2019,WYNN,2544.046,122.985,6611.099
2019,HAS,2545.772,520.454,4720.227
2019,CINF,2550,1997,7924
2019,TROW,2577.8,2131.3,5617.9
2019,MNST,2579.312,1107.835,4200.819
