"Security","SplitDate","NoofShares"
"COMBN0000",2005-05-31,2
"COMBN0000",2010-06-21,1.5
"COMBN0000",2011-09-15,2
"JKHN0000",2000-07-27,3
"JKHN0000",2011-06-30,1.33333333333333
"JKHN0000",2015-07-03,1.14285714285714
"JKHN0000",2016-06-30,1.14285714285714
"CCSN0000",2011-08-18,4.4
"SPENN0000",2010-10-11,4.278446
"ASIRN0000",2009-12-14,10
"CARGN0000",2008-05-05,40
"LLUBN0000",2009-12-18,2
"LLUBN0000",2016-06-13,2
"LLUBN0000",2003-09-03,2
"DFCCN0000",2010-11-02,2
"DFCCN0000",2006-06-20,2
"DISTN0000",2018-04-03,10
"HNBN0000",2007-03-30,2
"HNBN0000",2011-04-06,1.5
"HHLN0000",2010-08-06,5
"LOLCN0000",2010-11-22,10
