Area,Year,ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
Albania,1990,30197,1485,121,16.37
Albania,1991,20698,1485,121,15.36
Albania,1992,24388,1485,121,16.06
Albania,1993,29976,1485,121,16.05
Albania,1994,24745,1485,201,16.96
Albania,1995,28703,1485,251,15.67
Albania,1996,21741,1485,313.96,15.64
Albania,1997,28516,1485,376.93,15.9
Albania,1998,28037,1485,439.89,16.27
Albania,1999,24954,1485,502.86,16.57
Albania,2000,30455,1485,565.82,16.67
Albania,2001,28220,1485,628.79,16.59
Albania,2002,31617,1485,691.75,16.47
Albania,2004,31130,1485,817.68,16.16
Albania,2005,31582,1485,880.64,15.67
Albania,2006,30787,1485,943.61,15.92
Albania,2007,35496,1485,1006.57,16.67
Albania,2008,40168,1485,1069.54,16.71
Albania,2009,40229,1485,1132.5,16.73
Albania,2010,39905,1485,1311.17,16.52
Albania,2011,42301,1485,1302.63,16.45
Albania,2012,41096,1485,766.25,16.7
Albania,2013,41292,1485,982.32,17.41
Algeria,1990,6315,89,1828.92,17.48
Algeria,1991,10809,89,2461.8,16.26
Algeria,1992,9939,89,1215.47,16.27
Algeria,1993,8097,89,1021.89,17
Algeria,1994,7999,89,1255.02,17.88
Algeria,1995,8924,89,2697.09,17.36
Algeria,1996,13090,89,479.77,16.76
Algeria,1997,8016,89,401.22,17.84
Algeria,1998,8847,89,322.84,17.14
Algeria,1999,10711,89,654.45,17.97
Algeria,2000,9194,89,603.67,17.9
Algeria,2001,11104,89,710.11,18.13
Algeria,2002,10739,89,816.55,17.85
Algeria,2004,13582,89,3747.86,17.38
Algeria,2005,15057,89,3662.87,17.19
Algeria,2006,15068,89,4110.72,18.13
Algeria,2007,12742,89,5390.79,17.42
Algeria,2008,11038,89,11556.12,17.55
Algeria,2009,15975,89,3867.99,17.78
Algeria,2010,14838,89,1295.88,17.59
Algeria,2011,17405,89,13861.76,17.79
Algeria,2012,17639,89,17379.76,17.91
Algeria,2013,19100,89,17278.65,17.65
Angola,1990,7995,1010,64,24.12
Angola,1991,8000,1010,79,24.02
Angola,1992,8000,1010,23,23.96
Angola,1993,8876,1010,169,24.15
Angola,1994,10000,1010,25.5,24.04
Angola,1995,11855,1010,336,24.56
Angola,1996,13738,1010,40,24.11
Angola,1997,15509,1010,40,24.06
Angola,1998,17143,1010,40,24.96
Angola,1999,17391,1010,40,24.37
Angola,2000,17023,1010,40,24.41
Angola,2001,16667,1010,40,24.43
Angola,2002,15455,1010,40,24.79
Angola,2004,12442,1010,40,24.22
Angola,2005,10946,1010,40,24.41
Angola,2006,10000,1010,40,24.14
Angola,2007,10000,1010,40,24.24
Angola,2008,10000,1010,40,24.27
Angola,2009,10000,1010,40,24.33
Angola,2010,10526,1010,40,24.44
Angola,2011,10959,1010,40,24.15
Angola,2012,11258,1010,40,24.24
Angola,2013,9022,1010,40,24.55
Argentina,1990,18947,591,26156,17.46
Argentina,1990,18947,591,26156,17.67
Argentina,1991,18972,591,26156,17.64
Argentina,1991,18972,591,26156,17.86
Argentina,1992,21809,591,26156,17.09
Argentina,1992,21809,591,26156,17.51
Argentina,1993,23272,591,26156,17.32
Argentina,1993,23272,591,26156,17.53
Argentina,1994,20237,591,30195,18.17
Argentina,1994,20237,591,30195,18.31
Argentina,1995,21675,591,37842,17.74
Argentina,1995,21675,591,37842,17.62
Argentina,1996,19344,591,54595,17.64
Argentina,1996,19344,591,54595,17.97
Argentina,1997,22426,591,77691,18.29
Argentina,1997,22426,591,77691,18.54
Argentina,1998,26088,591,62397,17.23
Argentina,1998,26088,591,62397,17.52
Argentina,1999,23028,591,62831.39,17.15
Argentina,1999,23028,591,62831.39,17.71
Argentina,2000,24873,591,63265.78,16.98
Argentina,2000,24873,591,63265.78,17.66
Argentina,2001,24934,591,63700.17,17.71
Argentina,2001,24934,591,63700.17,18.42
Argentina,2002,22398,591,64134.56,17.58
Argentina,2002,22398,591,64134.56,18.07
Argentina,2004,25441,591,65003.34,17.67
Argentina,2004,25441,591,65003.34,18.11
Argentina,2005,26356,591,65437.73,17.32
Argentina,2005,26356,591,65437.73,17.83
Argentina,2006,25302,591,65872.12,18.1
Argentina,2006,25302,591,65872.12,18.35
Argentina,2007,26234,591,81582.64,16.71
Argentina,2007,26234,591,81582.64,17.14
Argentina,2008,28271,591,87149.01,17.71
Argentina,2008,28271,591,87149.01,18.39
Argentina,2009,19628,591,61586.56,18.16
Argentina,2009,19628,591,61586.56,18.09
Argentina,2010,27113,591,105915.04,17.33
Argentina,2010,27113,591,105915.04,17.84
Argentina,2011,35063,591,100424.62,17.58
Argentina,2011,35063,591,100424.62,17.93
Argentina,2012,32199,591,136185.08,18.18
Argentina,2012,32199,591,136185.08,18.43
Argentina,2013,26581,591,171945.54,16.45
Argentina,2013,26581,591,171945.54,16.88
Armenia,1992,21600,562,8,7.44
Armenia,1993,22257,562,8,7.69
Armenia,1994,17842,562,23,8.84
Armenia,1995,25480,562,23.9,9.76
Armenia,1996,23569,562,32,9.55
Armenia,1997,17009,562,41.46,9.1
Armenia,1998,20651,562,50.92,10.28
Armenia,1999,19466,562,60.38,10.11
Armenia,2000,16679,562,69.85,9.68
Armenia,2001,22263,562,79.31,10.18
Armenia,2002,23877,562,88.77,9.41
Armenia,2004,23416,562,204.77,9.55
Armenia,2005,20252,562,220.51,9.58
Armenia,2006,14627,562,227.55,9.89
Armenia,2007,25837,562,241.71,9.44
Armenia,2008,24322,562,218.2,9.51
Armenia,2009,22374,562,198.36,9.67
Armenia,2010,21192,562,278.72,11.31
Armenia,2011,28800,562,278.72,8.93
Armenia,2012,26010,562,278.72,10.2
Armenia,2013,31273,562,278.72,11.08
Australia,1990,16344,534,17866,16.8
Australia,1990,16344,534,17866,20.06
Australia,1990,16344,534,17866,12.11
Australia,1990,16344,534,17866,14.16
Australia,1990,16344,534,17866,18.05
Australia,1990,16344,534,17866,17.47
Australia,1991,14698,534,17866,16.78
Australia,1991,14698,534,17866,20.29
Australia,1991,14698,534,17866,12.22
Australia,1991,14698,534,17866,13.77
Australia,1991,14698,534,17866,18.73
Australia,1991,14698,534,17866,17.85
Australia,1992,17812,534,22234,15.78
Australia,1992,17812,534,22234,19.79
Australia,1992,17812,534,22234,11.21
Australia,1992,17812,534,22234,13.31
Australia,1992,17812,534,22234,18.45
Australia,1992,17812,534,22234,16.89
Australia,1993,19658,534,23899,16.71
Australia,1993,19658,534,23899,20.19
Australia,1993,19658,534,23899,11.84
Australia,1993,19658,534,23899,13.81
Australia,1993,19658,534,23899,18.03
Australia,1993,19658,534,23899,17.42
Australia,1994,11356,534,21057,16.43
Australia,1994,11356,534,21057,19.59
Australia,1994,11356,534,21057,11.6
Australia,1994,11356,534,21057,13.52
Australia,1994,11356,534,21057,19.17
Australia,1994,11356,534,21057,17.36
Australia,1995,17899,534,25598,16.14
Australia,1995,17899,534,25598,20.12
Australia,1995,17899,534,25598,11.39
Australia,1995,17899,534,25598,13.14
Australia,1995,17899,534,25598,18.88
Australia,1995,17899,534,25598,16.95
Australia,1996,21673,534,31185,16.12
Australia,1996,21673,534,31185,20.06
Australia,1996,21673,534,31185,11.29
Australia,1996,21673,534,31185,13.05
Australia,1996,21673,534,31185,19.13
Australia,1996,21673,534,31185,17.05
Australia,1997,18412,534,34091,16.48
Australia,1997,18412,534,34091,20.16
Australia,1997,18412,534,34091,12.13
Australia,1997,18412,534,34091,13.93
Australia,1997,18412,534,34091,18.94
Australia,1997,18412,534,34091,17.51
Australia,1998,19153,534,37215,16.28
Australia,1998,19153,534,37215,20.62
Australia,1998,19153,534,37215,12.46
Australia,1998,19153,534,37215,13.61
Australia,1998,19153,534,37215,18.9
Australia,1998,19153,534,37215,18.05
Australia,1999,20066,534,34200,16.77
Australia,1999,20066,534,34200,19.75
Australia,1999,20066,534,34200,12.1
Australia,1999,20066,534,34200,14.2
Australia,1999,20066,534,34200,19.28
Australia,1999,20066,534,34200,17.55
Australia,2000,18209,534,33475,17.08
Australia,2000,18209,534,33475,19.89
Australia,2000,18209,534,33475,12.09
Australia,2000,18209,534,33475,14.32
Australia,2000,18209,534,33475,19.07
Australia,2000,18209,534,33475,17.57
